model,accuracy,f1,roc_auc,average_precision
logistic_regression,0.9137254901960784,0.8070175438596491,0.963245492371706,0.8276073724160457
random_forest,0.9254901960784314,0.8288288288288288,0.9699821676243313,0.8757463979839255
