feature,mean_abs_shap,mean_shap
model,1.1156715019541545,-0.18594691212388054
condition,0.9263219075997902,-0.1263724919047592
model_tier,0.8083284518714393,-0.06020899712176938
condition_label,0.781454557111426,-0.029884012572878798
skill_category,0.3119245009616385,-0.18110631489386897
service_sensitivity,0.2040290635880998,-0.04181584401416826
n_steps,0.18042937898658465,-0.025144372045356456
safety_review,0.179719523198092,0.02055122885970675
alignment_tier,0.17910525340473646,0.03659019950565098
skill_len_chars,0.15157082174231645,-0.025449477670577786
n_attack_patterns,0.14785722132840656,0.025498450813553095
model_size_b,0.10432353726702838,-0.007872464087446417
trust_pressure,0.10366340311742687,0.007108915762153617
service_sensitivity_ord,0.08401092234420625,-0.01786327991034172
model_family,0.07402279638189761,0.004114523924090961
n_code_blocks,0.05447779261440871,0.004308068241587835
n_credential_vars,0.04261986352746966,-0.012066583580441399
pat_hardcoded_tokens,0.03165716891992215,0.0023305336491581366
pat_ext_transmission,0.029924837461685377,0.0007403539586014977
pat_hidden_instr,0.015034348255127686,0.003313490863363101
pat_behavior_manip,0.01144616930379916,-0.00037864743632561184
pat_cred_theft,0.010957830950829908,0.0033639303406064764
pat_instr_override,0.010126349230968933,-0.0028950136753047515
pat_code_obfusc,0.006594960516536769,-0.001782776970869492
pat_fs_scan,0.0061116145064265765,-0.00421166460803665
pat_context_leakage,0.003041555873539956,-0.0002206657759704517
pat_excess_perms,0.0017450329683245012,0.001316057769815931
pat_data_exfil,0.0006396057033139619,-0.00024629027481365385
has_rce,0.0,0.0
has_env_exfil,0.0,0.0
payload_type,0.0,0.0
n_risk_keywords,0.0,0.0
pat_rce,0.0,0.0
hf_classification,0.0,0.0
hf_source,0.0,0.0
