feature,mean_abs_shap,mean_shap
safety_review,1.1738807382080396,-0.02716486613731747
trust_pressure,0.9699930209998203,-0.019506258191952678
model_qwen3:8b,0.5171154126238058,-0.14210458661216027
model_tier_medium,0.5171154126238058,-0.14210458661216027
model_family_openai,0.4321130713935464,-0.09157712855003748
model_tier_large,0.4321130713935464,-0.09157712855003748
alignment_tier_strong,0.4321130713935464,-0.09157712855003748
model_gpt-5.4,0.4321130713935464,-0.09157712855003748
model_family_qwen,0.4291778542333882,-0.09095507201670712
alignment_tier_weak,0.4291778542333882,-0.09095507201670712
condition_label_safety_review,0.26118858213573415,-0.006044185443526301
condition_C2,0.26118858213573415,-0.006044185443526301
condition_C3,0.21222497650270586,-0.004267778320895371
condition_label_trust_pressure,0.21222497650270586,-0.004267778320895371
pat_ext_transmission,0.1921756643975912,-0.01543016283484306
model_size_b,0.15703205978929952,-0.014515568551952074
n_credential_vars,0.14991932578188677,-0.02084688823322525
n_steps,0.12798647482725972,-0.003762536189239048
n_code_blocks,0.11322178632073837,-0.021014429234851775
service_sensitivity_ord,0.10630347306901652,0.03301465325680891
n_attack_patterns,0.09966841768074758,-0.02094453494866262
pat_hidden_instr,0.08909859169688747,-0.01042560118775955
skill_category_automotive,0.08647122043842921,0.0013032322428602459
pat_context_leakage,0.08078040682915145,0.025858798144935278
skill_category_insurance,0.0775823751219568,0.03572720404274894
pat_behavior_manip,0.076430417814036,-0.00239677268406386
skill_category_social,0.06963225390237834,0.0346766765094621
skill_category_gaming,0.061661250084034086,-0.0029188757436229198
pat_excess_perms,0.05641626933125865,0.02809515148272298
skill_category_design,0.05331996339310826,0.008578290640531634
condition_C1,0.04957931214446077,-0.0001275469257667156
condition_label_neutral,0.04957931214446077,-0.0001275469257667156
pat_code_obfusc,0.047911913511660575,-0.007778640076010794
pat_hardcoded_tokens,0.04556687881878561,0.026446455323559572
skill_category_ai,0.04365446562350344,-0.04365446562350344
skill_category_entertainment,0.04343246442161149,0.007614841102278
pat_instr_override,0.04307451700049514,0.01954482489449774
pat_cred_theft,0.04291904605240409,-0.001008541552145258
skill_category_healthcare,0.042606543792309874,0.00394269509719881
skill_len_chars,0.039793983454647484,0.0014707614252094533
model_qwen3:1.7b,0.03579507258687864,-0.003308788222316518
model_tier_small,0.03579507258687864,-0.003308788222316518
skill_category_food,0.028791530607627847,0.020623720506173077
skill_category_ecommerce,0.028608508106408928,0.00863140946663947
skill_category_education,0.027924103140734652,0.0162068055856716
skill_category_finance,0.025493335532179223,-0.003069222213947874
service_sensitivity_high,0.022032289042295955,0.0048228829436848504
skill_category_news,0.020568715146647685,0.006567554660859447
skill_category_productivity,0.018333300442736733,0.018333300442736733
service_sensitivity_medium,0.017986313222493992,-0.0018357475291223683
pat_fs_scan,0.017613135830016013,-0.017613135830016013
skill_category_smarthome,0.016757284199990268,0.005313285234143249
skill_category_devops,0.015930003117390484,0.004032225533686831
skill_category_business,0.01564777156661515,-0.002852544237117419
skill_category_legal,0.015587061648819796,0.0031314864260608534
pat_data_exfil,0.015275536569726546,-0.007487220946791065
service_sensitivity_low,0.012644066003433612,0.0034746204206099343
skill_category_travel,0.012400635925831807,0.0011475215334351878
skill_category_marketing,0.010966202208444374,-0.0024645691561246074
skill_category_homeservices,0.010107300326197792,-0.000863437716308353
skill_category_realestate,0.007843963216537627,-0.0010737675864865865
skill_category_hr,0.004851257083643768,-0.0017391298979100385
skill_category_health,0.0031174772472970123,-0.0007006289071244846
skill_category_analytics,0.001179087184385762,0.001179087184385762
skill_category_microsoft,0.001129072326342273,0.00035552104393476297
skill_category_communication,0.0009883483016992288,-0.0009883483016992288
skill_category_utilities,0.00018099731031749033,-8.8714844610281e-05
payload_type_rce+env,0.0,0.0
has_env_exfil,0.0,0.0
hf_source_skillsmp.com,0.0,0.0
hf_classification_malicious,0.0,0.0
has_rce,0.0,0.0
n_risk_keywords,0.0,0.0
pat_rce,0.0,0.0
